adjustment_ratio,adjustment_type,ann_type,avg_price_1d,avg_price_20d,bond_code,bond_name,delisting_date,doc_id,effective_date,evidence_page,evidence_text,last_convert_date,new_conv_price,notes,original_conv_price,premium_rate,pricing_base_date,publish_date,record_date,redemption_price,redemption_trigger,stock_code,stock_name,trigger_rule
,,强赎类公告,,,127066,科利转债,,cfa86339bb499f8b,,1,可转债赎回日：2026年6月15日；可转债赎回价格：101.405元/张（含当期应计利息，当期年利率为1.5%，且当期利息含税）；可转债赎回登记日：2026年6月12日,2026-06-12,,,,,,2026-05-25,2026-06-12,101.405,自2026年4月16日至2026年5月18日，公司股票已满足连续三十个交易日中至少有十五个交易日的收盘价格不低于“科利转债”当期转股价格的130%（即193.31元/股）,002850,科达利,
,,下修类公告,,,123065,宝莱转债,,d04be78f22eaf359,,,截至2026年5月11日，公司股票已出现任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格90%的情形。,,,公司董事会决定本次不向下修正“宝莱转债”转股价格，下一触发转股价格修正条件的期间自2026年5月11日后首个交易日起重新计算。,23.8,,,2026-05-11,,,,300246,宝莱特,任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的90%
,,强赎类公告,,,123121,帝尔转债,2026-06-03,d130d838579a492e,,,可转债赎回价格：102.068元/张（含息税）；可转债赎回登记日：2026年6月2日；可转债最后转股日：2026年6月2日；可转债赎回日：2026年6月3日；自2026年4月17日至2026年5月12日，公司股票已满足在连续三十个交易日中至少十五个交易日的收盘价格不低于“帝尔转债”当期转股价格（73.56元/股）的130%。,2026-06-02,,,,,,2026-05-27,2026-06-02,102.068,在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300776,帝尔激光,
,,下修类公告,,,110076,华海转债,,d15e222a455a632e,,1,自2026年1月6日至2026年1月19日，公司股票在连续30个交易日中已有10个交易日的收盘价低于当期转股价格的80%，预计触发转股价格向下修正条件。,,,预计触发下修提示性公告，尚未实际下修,33.06,,,2026-01-19,,,,600521,华海药业,在任意三十个连续交易日中至少十五个交易日收盘价格低于当期转股价格的80%
,主动下修,下修类公告,,,123157,科蓝转债,,d253742c0a5a7ad8,,,截至2026年5月26日，公司股票已出现在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%（即11.22元/股）的情形，已经触发《募集说明书》中约定可转债转股价格向下修正的条件。截至本公告披露日，公司可转债转股价格为13.20元/股。,,,董事会提议向下修正，修正后转股价格待股东大会确定。,13.2,,,2026-05-26,,,,300663,科蓝软件,任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格的85%
,,下修类公告,,,118027,宏图转债,,d2617ecba733016f,,,,,,预计触发下修提示性公告，尚未实际下修,,,,2026-04-04,,,,688066,航天宏图,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,下修类公告,,,127069,小熊转债,,d283af292365a71e,,1,证券代码：002959 证券简称：小熊电器 公告编号：2026-036 债券代码：127069 债券简称：小熊转债 小熊电器股份有限公司 关于“小熊转债”预计触发转股价格向下修正条件的提示性公告,,,本次为预计触发转股价格向下修正条件的提示性公告，尚未实际下修转股价格。,,,,2026-04-18,,,,002959,小熊电器,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格低于当期转股价格85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东大会表决
,,强赎类公告,,,123121,帝尔转债,,d3420c0f826ab9b7,,1,可转债赎回日：2026年6月3日 2.可转债赎回价格：102.068元/张（含息税） 3.可转债赎回资金到账日：2026年6月10日 4.可转债停止交易日：2026年5月29日 5.可转债停止转股日：2026年6月3日 6.可转债赎回条件满足日：2026年5月12日 7.可转债赎回登记日：2026年6月2日,2026-06-02,,,,,,2026-05-21,2026-06-02,102.07,在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300776,帝尔激光,
,,强赎类公告,,,123236,家联转债,,d3d1fed5fb885ad3,,1,2026年5月27日是“家联转债”最后一个转股日，当日收市前，持有“家联转债”的投资者仍可进行转股；2026年5月27日收市后，未实施转股的“家联转债”将停止转股，剩余“家联转债”将按照100.344元/张的价格被强制赎回。,2026-05-27,,,,,,2026-05-27,2026-05-27,100.344,任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（19.93元/股）,301193,家联科技,
,,强赎类公告,,,118033,华特转债,2026-06-10,d511d61712d90244,,,公司股票自2026年4月21日至2026年5月14日期间，满足连续三十个交易日中有十五个交易日的收盘价不低于“华特转债”当期转股价格82.75元/股的130%（即107.58元/股）。赎回价格为100.3329元/张。赎回登记日：2026年6月9日。最后转股日：2026年6月9日。自2026年6月10日起，本公司的“华特转债”将在上海证券交易所摘牌。,2026-06-09,,,,,,2026-05-28,2026-06-09,100.3329,公司股票自2026年4月21日至2026年5月14日期间，满足连续三十个交易日中有十五个交易日的收盘价不低于“华特转债”当期转股价格82.75元/股的130%（即107.58元/股）,688268,华特气体,
,,强赎类公告,,,123253,永贵转债,,d52413b704094ccd,,,自2026年5月7日至2026年5月20日已有10个交易日的收盘价格不低于“永贵转债”当期转股价格（即18.23元/股）的130%（即23.70元/股），如后续公司股票收盘价格继续不低于当期转股价格的130%，预计将可能触发“永贵转债”有条件赎回条款。根据《募集说明书》的有条件赎回条款，在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。,,,,,,,2026-05-20,,,在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300351,永贵电器,
,,强赎类公告,,,128137,洁美转债,,d678f088cfc2230e,,,转债赎回日：2026年06月23日；转债赎回价格：101.266元/张（含息税）。可转债赎回登记日：2026年6月22日。,2026-06-22,,提前赎回第一次提示性公告,,,,2026-06-01,2026-06-22,101.266,在本次发行的可转债转股期内，如果公司股票在任意连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含）,002859,洁美科技,
,,强赎类公告,,,149358,21万科02,,d68a6add68e39951,,1,根据公司实际情况及当前的市场环境，公司决定放弃行使“21万科02”发行人赎回选择权。,,,该公告涉及的是公司债券“21万科02”的赎回选择权放弃，并非可转债，因此下修类和强赎类字段均不适用。,,,,2025-12-05,,,,000002,万科A,
,,强赎类公告,,,127026,超声转债,,d6e03b33c8728f5c,,,可转债赎回日：2026年6月15日；可转债赎回价格：101.04元/张（含息税）；可转债赎回登记日：2026年6月12日；可转债停止转股日：2026年6月15日；自2026年4月20日至2026年5月22日，公司股票已有十五个交易日的收盘价不低于“超声转债”当期转股价格的130%,2026-06-15,,,,,,2026-05-27,2026-06-12,101.04,自2026年4月20日至2026年5月22日，公司股票已有十五个交易日的收盘价不低于“超声转债”当期转股价格的130%,000823,超声电子,
,,下修类公告,,,128134,鸿路转债,,d70eef5dd996cdc5,,3,自2026年1月14日起至2026年1月27日，公司股票已有10个交易日的收盘价格低于当期转股价格32.08元/股的85%，即27.27元/股的情形。若后续公司股票收盘价格继续低于当期转股价的85%，预计将有可能触发转股价格向下修正条件。,,,,,,,2026-01-28,,,,002541,鸿路钢构,在本次发行的可转债存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,强赎类公告,,,127090,兴瑞转债,,d71b3b78dcf690f7,,,自2026年4月24日至2026年5月22日，公司股票已满足连续三十个交易日中至少有十五个交易日的收盘价格不低于“兴瑞转债”当期转股价格（25.50元/股）的130%（即33.15元/股）。...赎回价格为100.717元/张（含息税）...赎回登记日：2026年6月15日...停止转股日：2026年6月16日,2026-06-16,,,,,,2026-05-28,2026-06-15,100.717,在本次发行的可转债转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,002937,兴瑞科技,
,,强赎类公告,,,127066,科利转债,,d7ad34332b356481,,,可转债赎回日：2026年6月15日；可转债赎回价格：101.405元/张（含当期应计利息，当期年利率为1.5%，且当期利息含税）；可转债赎回登记日：2026年6月12日；可转债停止转股日：2026年6月15日；自2026年4月16日至2026年5月18日，公司股票已满足连续三十个交易日中至少有十五个交易日的收盘价格不低于“科利转债”当期转股价格的130%（即193.31元/股）。,2026-06-12,,,,,,2026-05-29,2026-06-12,101.41,在本次发行的可转债转股期内，如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,002850,科达利,
,,强赎类公告,,,123126,瑞丰转债,,d7d70d9f245719a6,,1,2026年5月29日收市后，“瑞丰转债”将停止转股，剩余“瑞丰转债”将按照102.532元/张的价格被强制赎回。自2026年4月15日至2026年5月8日，公司股票已满足任何连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（15.14元/股）,2026-05-29,,,,,,2026-05-26,2026-05-29,102.532,在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300243,瑞丰高材,
,,强赎类公告,,,123236,家联转债,,d8ad6c7a622a8eca,,,可转债赎回价格：100.344元/张（债券面值加当期应计利息，当期年利率为0.80%，且当期利息含税）；可转债赎回条件满足日：2026年4月20日；可转债赎回登记日：2026年5月27日；可转债最后转股日：2026年5月27日；自2026年3月30日至2026年4月20日，公司股票已满足任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（19.93元/股）,2026-05-27,,,,,,2026-05-20,2026-05-27,100.34,连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%,301193,家联科技,
,,强赎类公告,,,149358,21万科02,,d8e19785c2a82372,,1,万科企业股份有限公司关于放弃行使“21万科02”公司债券赎回选择权的公告,,,公司债券，非可转债,,,,2025-12-05,,,,000002,万科A,
,,强赎类公告,,,148330,23越产02,2026-06-26,d8ed87c733a74d35,,1,赎回价格：人民币103.10元/张（含当期利息，且当期利息含税）。赎回登记日：2026年6月25日。摘牌日：2026年6月26日。,,,,,,,,2026-06-25,103.1,,,,
,,下修类公告,,,113647,禾丰转债,,d9e3d7e091ecfe2c,,1,自2026年4月11日至2026年5月6日，公司股票在连续30个交易日中有15个交易日的收盘价低于当期转股价格（10.09元/股）的85%（即8.58元/股），已触发“禾丰转债”的转股价格向下修正条款。,,,本次董事会决定不向下修正转股价格，并在未来6个月内如再次触发亦不下修。,10.09,,,2026-05-07,,,,603609,禾丰股份,在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,下修类公告,,,113660,寿22转债,,db4c27a7dd2d499d,,1,证券代码：603896 证券简称：寿仙谷 公告编号：2026-003 债券代码：113660 债券简称：寿22转债 转股价格：36.84元/股 自2026年3月16日至2026年3月27日期间，公司股票已连续十个交易日的收盘价格低于“寿22转债”当期转股价36.84元/股的85%（即31.31元/股），若在未来连续二十个交易日内，公司股票有五个交易日的收盘价低于当期转股价格的85%，将触发“寿22转债”的转股价格向下修正条款。,,,,36.84,,,2026-03-28,,,,603896,寿仙谷,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,下修类公告,,,113650,博22转债,,dc92be9ca754fd7c,,,公司股票自2026年5月5日至2026年5月19日已有十个交易日的收盘价低于当期转股价格的80%（即18.52元/股），存在触发《募集说明书》中规定的转股价格向下修正条件的可能性。,,,,23.15,,,2026-05-20,,,,603916,苏博特,在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的80%时
,,强赎类公告,,,111013,新港转债,2026-06-02,dcbc56daeebd889e,,,赎回登记日：2026年6月1日 赎回价格：100.3534元/张 赎回款发放日：2026年6月2日 最后交易日：2026年5月27日 最后转股日：2026年6月1日 本次提前赎回完成后，“新港转债”将自2026年6月2日起在上海证券交易所摘牌。,2026-06-01,,,,,,2026-05-20,2026-06-01,100.3534,在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含本数）,605162,新中港,
,,强赎类公告,,,123126,瑞丰转债,,dcf36d61a4061f13,,,赎回价格：102.532元/张... 可转债赎回登记日：2026年5月29日... 可转债最后转股日：2026年5月29日... 自2026年4月15日至2026年5月8日，公司股票已满足任何连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（15.14元/股）,2026-05-29,,,,,,2026-05-29,2026-05-29,102.53,在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300243,瑞丰高材,
,,强赎类公告,,,111013,新港转债,2026-06-02,dd70e1887e284ab6,,1,赎回登记日：2026年6月1日 赎回价格：100.3534元/张 赎回款发放日：2026年6月2日 最后交易日：2026年5月27日 最后转股日：2026年6月1日 本次提前赎回完成后，“新港转债”将自2026年6月2日起在上海证券交易所摘牌。,2026-06-01,,,,,,2026-05-30,2026-06-01,100.3534,在本次发行的可转换公司债券转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含本数）,605162,新中港,
,主动下修,下修类公告,,,127093,章鼓转债,,ddc4a8fe208832cd,,3,截至2026年4月27日，公司股价已出现连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格85%的情形，已触发“章鼓转债”转股价格的向下修正条件。……如股东会召开时，上述任一指标高于本次调整前“章鼓转债”转股价格（10.15元/股），则“章鼓转债”转股价格无需调整。,,,,10.15,,,2026-04-28,,,,002598,ST章鼓,连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,下修类公告,,,127018,本钢转债,,defeb36ba429f894,,1,转股价格：3.29元/股。自2026年5月14日至2026年5月20日，公司股票已有5个交易日的收盘价低于当期转股价格的85%，预计可能触发转股价格向下修正条件。在本次发行的可转债存续期间，当公司A股股票在任意连续二十个交易日中至少有十个交易日的收盘价低于当期转股价格的85%时，公司董事会有权提出转股价格向下修正方案并提交公司股东会审议表决。,,,,,,,2026-05-21,,,,000761,本钢板材,在任意连续二十个交易日中至少有十个交易日的收盘价低于当期转股价格的85%
,,强赎类公告,,,127024,盈峰转债,,df129a9e3d22f0e5,,,自2026年4月10日至2026年4月30日期间，盈峰环境科技集团股份有限公司股票已满足任意连续三十个交易日中至少有十五个交易日的收盘价格不低于“盈峰转债”当期转股价格（7.67元/股）的130%（即9.971元/股）的情形。根据《募集说明书》中有条件赎回条款的相关规定，公司已触发“盈峰转债”的有条件赎回条款。赎回价格为人民币101.129元/张（含息税）。赎回登记日：2026年5月28日。最后转股日：2026年5月28日。,2026-05-28,,,,,,2026-05-28,2026-05-28,101.129,在本次发行的可转换公司债券转股期内，如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。,000967,盈峰环境科技集团股份有限公司,
,,强赎类公告,,,148330,23越产02,2026-06-26,e0106132f8cf13a2,,"Page 1, Page 5",赎回价格：人民币103.10元/张（含当期利息，且当期利息含税）。赎回登记日：2026年6月25日。赎回资金到账日：2026年6月26日。摘牌日：2026年6月26日。,,,本公告为公司债赎回，非可转债强赎，无转股相关字段。,,,,,2026-06-25,103.1,,,,
,主动下修,下修类公告,,,118027,宏图转债,,e0b0e027ff9b0bc6,,,截至2026年3月2日，公司股票已出现在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%（即34.80元/股）的情形，已触发“宏图转债”转股价格的向下修正条款。同意将“宏图转债”转股价格由62.98元/股向下修正为40.94元/股。,,,,40.94,,,2026-03-03,,,,688066,航天宏图,连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,强赎类公告,,,123126,瑞丰转债,,e1700a1fc45f3b7c,,,赎回价格：102.532元/张（债券面值加当期应计利息，当期年利率为3.5%，且当期利息含税），扣税后的赎回价格以中国证券登记结算有限责任公司深圳分公司核准的价格为准。2、可转债赎回条件触发日：2026年5月8日 3、可转债停止交易日：2026年5月27日 4、可转债停止转股日：2026年6月1日 5、可转债赎回登记日：2026年5月29日,2026-05-29,,,,,,2026-05-20,2026-05-29,102.532,在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300243,瑞丰高材,
,,下修类公告,,,123216,科顺转债,,e1cac5d30966bb20,,,2025年12月4日—2025年12月17日，公司股票已有十个交易日的收盘价低于“科顺转债”当期转股价格6.67元/股的85%，即5.67元/股的情形，预计触发转股价格向下修正条件。,,,预计触发下修条件，尚未正式下修,6.67,,,2025-12-17,,,,300737,科顺股份,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,强赎类公告,,,111005,富春转债,2026-05-29,e32a8dc309cec024,,1,重要内容提示： 赎回登记日：2026年5月28日 赎回价格：101.3973元/张 赎回款发放日：2026年5月29日 最后交易日：2026年5月25日 最后转股日：2026年5月28日 本次提前赎回完成后，富春转债将自2026年5月29日起在上海证券交易所摘牌。,2026-05-28,,,,,,2026-05-22,2026-05-28,101.3973,在本次发行的可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,605189,富春染织,
,,下修类公告,,,128119,龙大转债,,e3c30812147916a0,,1,根据公司《山东龙大肉食品股份有限公司公开发行可转换公司债券募集说明书》规定：在本次发行的可转换公司债券存续期间，当公司A股股票在任意连续二十个交易日中有十个交易日的收盘价低于当期转股价格的90%时，公司董事会有权提出可转债转股价格向下修正方案并提交公司股东大会审议表决。本次触发可转债转股价格修正条件的期间从2026年5月25日起算，自2026年5月25日至2026年5月29日，公司股票已有五个交易日低于当期转股价格的90%（即3.78元/股），预计后续可能触发可转债转股价格向下修正条件。,,,,4.2,,,2026-05-29,,,,002726,ST龙大,在本次发行的可转换公司债券存续期间，当公司A股股票在任意连续二十个交易日中有十个交易日的收盘价低于当期转股价格的90%时
,,下修类公告,,,118027,宏图转债,,e3e990d1c85a2df3,,1,转股价格：40.94元/股；转股时间：2023年6月2日至2028年11月27日；航天宏图信息技术股份有限公司（以下简称“公司”）股票自2026年2月2日至2026年2月13日已有10个交易日的收盘价低于当期转股价格的85%（即34.80元/股），存在触发《航天宏图信息技术股份有限公司向不特定对象发行可转换公司债券募集说明书》（以下简称“募集说明书”）中规定的转股价格向下修正条件的可能性。,,,,40.94,,,2026-02-14,,,,688066,航天宏图,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,,强赎类公告,,,149797,22新资01,2026-01-27,e4a7c85cc4484964,,1,赎回价格：人民币 105.40元/张（含当期利息，且当期利息含税） 。赎回登记日： 2026年1月26日。赎回资金到账日： 2026年1月27日。,,,,,,,2025-12-26,2026-01-26,105.4,,,,
,,强赎类公告,,,148097,22越控04,,e4ae192232b8dfdc,,2,根据公司实际情况及当前的市场环境，公司决定放弃行使发行人调整票面利率选择权，并行使本期债券的发行人赎回选择权，对赎回登记日登记在册的“22越控04”进行全额赎回。,,,,,,,2025-09-10,,,,,广州越秀资本控股集团股份有限公司,
,,下修类公告,,,127062,垒知转债,,e4c53b9ac7c076fd,,5,自2026年2月26日至2026年3月11日，公司股票在连续30个交易日中已有10个交易日的收盘价低于当期转股价格7.59元/股的85%，即6.45元/股的情形，预计触发转股价格向下修正条件。,,,,,,,2026-03-12,,,,002398,垒知集团,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
,不向下修正,下修类公告,,,111009,盛泰转债,,e6da7c9fc637a901,,,截至2026年3月11日，公司股票已满足在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%（即8.9760元/股），已触发“盛泰转债”转股价格修正条款。公司“盛泰转债”的初始转股价格为10.90元/股，最新转股价格为10.56元/股。公司董事会决定本次不向下修正“盛泰转债”的转股价格，并且在未来6个月内（即自2026年3月12日至2026年9月11日期间），公司股价若再次触发此条款，亦不向下修正“盛泰转债”的转股价格。,,,公司决定本次不向下修正转股价格，并在未来6个月内亦不修正。,10.56,,,2026-03-12,,,,605138,盛泰集团,在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,下修类公告,,,123214,东宝转债,,e6ef7f776b7ade5c,,,自2026年4月16日至2026年5月11日，公司股票已有十五个交易日的收盘价低于当期转股价格6.63元/股的90%，已触发“东宝转债”转股价格向下修正条件。,,,公司董事会决定本次不向下修正“东宝转债”转股价格，同时自本次董事会审议通过次一交易日起至2026年11月11日，如再次触发向下修正条件，亦不提出向下修正方案。,,,,2026-05-11,,,,300239,东宝生物,在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的90%时
,,强赎类公告,,,148064,22越控02,2025-09-16,e92dd5e5d83cb66e,,1,赎回登记日： 2025年9月15日。 赎回资金到账日： 2025年9月16日。 赎回价格：人民币 102.67元/张（含当期利息，且当期利息含税）。 摘牌日： 2025年9月16日。,,,该公告为公司债券赎回选择权行使，非可转债，部分字段不适用。,,,,,2025-09-15,102.67,,,广州越秀资本控股集团股份有限公司,
,,下修类公告,,,110092,三房转债,,e959f6b7bb33a906,,1,自2026年2月27日至2026年4月2日，江苏三房巷聚材股份有限公司股价已出现任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%的情形，触发“三房转债”转股价格向下修正条款。经公司第十一届董事会第二十八次会议审议通过，公司董事会决定本次不向下修正“三房转债”转股价格,,,,3.02,,,2026-04-03,,,,600370,三房巷,任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,下修类公告,,,118053,正帆转债,,e9d9efab2bd25565,,1,转股价格：38.45元/股。上海正帆科技股份有限公司（以下简称“公司”）股票自2026年3月3日至2026年3月16日已有10个交易日的收盘价低于当期转股价格的85%（即32.68元/股），存在触发《上海正帆科技股份有限公司向不特定对象发行可转换公司债券募集说明书》中规定的转股价格向下修正条件的可能性。,,,,38.45,,,2026-03-17,,,,688596,正帆科技,在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,强赎类公告,,,149975,22万科05,2025-07-08,eb96a7c3003e40d9,,1,赎回登记日：2025年7月7日。赎回资金到账日：2025年7月8日。赎回价格：人民币103.21元/张（含当期利息，且当期利息含税）。债券赎回比例：100%。摘牌日: 2025年7月8日。,,,,,,,2025-06-17,2025-07-07,103.21,,000002,万科A,
,,强赎类公告,,,149975,22万科05,,ebc3ffaec1782570,,1,根据公司实际情况及当前的市场环境，公司决定行使“22万科 05”赎回选择权，对赎回登记日登记在册的“22万科 05”全部赎回。,,,公司债券赎回，非可转债,,,,2025-06-10,,,,000002,万科A,
,,强赎类公告,,,123126,瑞丰转债,,ec52b5e2cd98be32,,,自2026年4月15日至2026年5月8日，山东瑞丰高分子材料股份有限公司（以下简称“公司”）股票已满足任何连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（15.14元/股），根据公司《创业板向不特定对象发行可转换公司债券募集说明书》中有条件赎回条款的相关约定，已触发“瑞丰转债”有条件赎回条款。,2026-05-29,,,,,,2026-05-25,2026-05-29,102.53,在本次发行的可转换公司债券转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,300243,瑞丰高材,
,,强赎类公告,,,148097,22越控04,2025-10-24,ec60c179ff11d0f2,,1,赎回价格：人民币 102.65元/张（含当期利息，且当期利息含税）。赎回登记日：2025年10月23日。摘牌日：2025年10月24日。,,,本次公告为公司债券赎回选择权行使，非可转债。,,,,2025-09-15,2025-10-23,102.65,,,广州越秀资本控股集团股份有限公司,
,,强赎类公告,,,149358,21万科02,,ec9d177c34aadaca,,1,根据公司实际情况及当前的市场环境，公司决定放弃行使“21万科02”发行人赎回选择权。,,,该公告为公司债券放弃赎回选择权，非可转债，可转债相关字段不适用。,,,,2025-12-05,,,,000002,万科企业股份有限公司,
,,强赎类公告,,,149297,20万科08,2025-11-13,ed1e2a4e12d91808,,1,赎回登记日：2025年11月12日。赎回价格：人民币104.11元/张（含当期利息，且当期利息含税）。摘牌日: 2025年11月13日。,,,,,,,2025-09-24,2025-11-12,104.11,,000002,万科A,
,,强赎类公告,,,127024,盈峰转债,,ed44cd76c56ee1cb,,1-2,"重要内容提示：
1、最后交易日：2026年5月25日
2026年5月25日为“盈峰转债”最后一个交易日，当日“盈峰转债”简称为“Z峰转债”；2026年5月25日收市后“盈峰转债”将停止交易。
2、最后转股日：2026年5月28日
2026年5月28日为“盈峰转债”最后一个转股日，当日收市前，持有“盈峰转债”的投资者仍可进行转股，2026年5月28日收市后，仍未实施转股的“盈峰转债”将停止转股，剩余“盈峰转债”将按照101.129元/张（含息税，当期年利率为2.00%）的价格被强制赎回。
...
自2026年4月10日至2026年4月30日期间，盈峰环境科技集团股份有限公司（以下简称“盈峰环境”或“公司”）股票已满足任意连续三十个交易日中至少有十五个交易日的收盘价格不低于“盈峰转债”当期转股价格（7.67元/股）的130%（即9.971元/股）的情形。",2026-05-28,,,,,,2026-05-22,2026-05-28,101.129,在本次发行的可转换公司债券转股期内，如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）。,000967,盈峰环境科技集团股份有限公司,
,,下修类公告,,,118020,芳源转债,,ed4cf8527ccf3bad,,,截至2026年5月6日，公司股票已出现在任意连续30个交易日中至少有15个交易日的收盘价低于当期转股价格的85%（即11.90元/股），已触发“芳源转债”转股价格向下修正条款。公司于2026年5月6日召开第四届董事会第十二次会议...决定本次不向下修正转股价格，同时在未来两个月内（即2026年5月7日至2026年7月6日），如再次触发“芳源转债”转股价格向下修正条款，亦不提出向下修正方案。,,,,14.0,,,2026-05-07,,,,688148,芳源股份,在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%
,,强赎类公告,,,149975,22万科05,2025-07-08,eefd1fa7b8ea050a,,1,赎回登记日：2025年7月7日。赎回价格：人民币103.21元/张（含当期利息，且当期利息含税）。摘牌日: 2025年7月8日。,,,,,,,2025-06-23,2025-07-07,103.21,,000002,万科A,
,,强赎类公告,,,127053,豪美转债,,ef64810dcbc2119f,,,自2026年4月30日至2026年5月18日期间，公司股票已有10个交易日的收盘价格不低于“豪美转债”当期转股价17.23元/股的130%（即22.40元/股）。若在未来触发“豪美转债”的有条件赎回条款，即公司股票在任何连续三十个交易日中至少十五个交易日的收盘价不低于当期转股价格的130%（含130%），根据《募集说明书》中有条件赎回条款的相关约定，届时公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的“豪美转债”。,,,,,,,2026-05-19,,,在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,002988,豪美新材,
,,下修类公告,,,127030,盛虹转债,,f004bbf2c9f63d4a,,,2025年12月1日至2025年12月11日期间，公司股票已有9个交易日的收盘价低于“盛虹转债”当期转股价格13.21元/股的80%，即10.568元/股，预计将触发“盛虹转债”转股价格向下修正条件。,,,,13.21,,,2025-12-11,,,,000301,东方盛虹,在任意30个连续交易日中至少15个交易日的收盘价格低于当期转股价格的80%时
,,下修类公告,,,127062,垒知转债,,f077880a619c61dd,,,截至2026年2月25日，公司股票在连续30个交易日中已有15个交易日（2026年1月28日至2026年2月25日）的收盘价低于当期转股价格的85%，已触发转股价格向下修正条件。,,,公司董事会决定本次不向下修正转股价格，从2026年2月26日起重新计算触发条件。,,,,2026-02-26,,,,002398,垒知集团,在本次发行的可转换公司债券存续期间，当公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价低于当期转股价格的85%时
